name, threads, steps, time, expected, real/expected, cpu/expected, user/cpu, system/cpu
"std::mutex single-threaded",1,183453231,1.00177e+10,54.2694,1.00621,0.9495,1,0
"ttas_mutex single-threaded",1,182638678,1.00264e+10,54.2694,1.01157,0.952158,1,0
"std::mutex no contention",1,122957741,1.00381e+10,53.4305,1.52793,1.45555,1,0
"ttas_mutex no contention",1,130436834,1.00092e+10,53.4305,1.43618,1.34743,1,0
"std::mutex rare contention",1,113563303,1.00231e+10,53.4305,1.65186,1.55278,1,0
"ttas_mutex rare contention",1,122919007,1.00132e+10,53.4305,1.52464,1.44411,1,0
"std::mutex shortest sections",1,245108743,1.00062e+10,5.93672,6.87642,6.52857,1,0
"ttas_mutex shortest sections",1,245740732,1.00237e+10,5.93672,6.87077,6.45823,1,0
"std::mutex short sections",1,42184480,1.00298e+10,195.912,1.21361,1.14572,1,0
"ttas_mutex short sections",1,47507616,1.00088e+10,195.912,1.07537,1.00727,1,0
"std::mutex long sections",1,1078,1.00182e+10,9.99999e+06,0.929337,0.869667,1,0
"ttas_mutex long sections",1,1091,1.00414e+10,9.99999e+06,0.920382,0.879354,1,0
